Name,Path,Description
Users,"OU=KEN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=KEN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=KEN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=KEN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=KEN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
MAN,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Mansfield TX
Users,"OU=MAN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=MAN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=MAN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=MAN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=MAN,OU=Managed Objects,DC=corp,DC=global,DC=ads",
NEE,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Neenah WI
Users,"OU=NEE,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=NEE,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=NEE,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=NEE,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=NEE,OU=Managed Objects,DC=corp,DC=global,DC=ads",
OKC,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Oklahoma City OK
Users,"OU=OKC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=OKC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=OKC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=OKC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=OKC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
TPC,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Tier Point Colo OK
Users,"OU=TPC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=TPC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=TPC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=TPC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=TPC,OU=Managed Objects,DC=corp,DC=global,DC=ads",
WAU,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Wauconda IL
Users,"OU=WAU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=WAU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=WAU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=WAU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=WAU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
GRU,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Guarulhos Brazil
Users,"OU=GRU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=GRU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=GRU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=GRU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=GRU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
JAR,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Jardim Danfer Brazil
Users,"OU=JAR,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=JAR,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=JAR,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=JAR,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=JAR,OU=Managed Objects,DC=corp,DC=global,DC=ads",
AHA,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Ahaus Germany
Users,"OU=AHA,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=AHA,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=AHA,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=AHA,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=AHA,OU=Managed Objects,DC=corp,DC=global,DC=ads",
KHM,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Kelkheim Germany
Users,"OU=KHM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=KHM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=KHM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=KHM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=KHM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
POZ,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Poznan Poland
Users,"OU=POZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=POZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=POZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=POZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=POZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
HUZ,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Huzhou China
Users,"OU=HUZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=HUZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=HUZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=HUZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=HUZ,OU=Managed Objects,DC=corp,DC=global,DC=ads",
ZHU,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Zhuhai China
Users,"OU=ZHU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=ZHU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=ZHU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=ZHU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=ZHU,OU=Managed Objects,DC=corp,DC=global,DC=ads",
,,
,,
,,
,,
